,sugar index,bake temp,chill time,calories,grams baking soda,bake time,quality,weight,cubed,melted
0,9.5,300,15.0,136.0,0.44,12.1,8,15.2,0,1
1,3.3,520,34.0,113.0,0.48,8.4,7,12.4,0,1
2,1.9,360,33.0,106.0,0.83,14.0,9,9.4,0,1
3,10.5,490,41.0,124.0,0.35,10.5,7,12.2,0,1
4,2.4,770,6.0,33.0,0.57,9.4,5,19.8,1,0
5,18.15,500,23.0,139.0,0.5,9.2,7,13.2,0,1
6,2.3,410,31.0,102.0,0.58,10.9,9,13.2,0,1
7,2.6,440,30.0,180.0,0.44,10.8,9,15.2,0,1
8,1.8,700,13.0,40.0,0.6,9.1,5,14.2,1,0
9,12.9,330,59.0,186.0,0.49,9.4,7,13.8,0,1
10,9.6,300,45.0,197.0,0.38,12.3,9,15.2,0,1
11,3.3,370,32.0,140.0,0.36,12.8,9,12.6,0,1
12,7.5,300,18.0,117.0,0.38,13.0,8,13.8,0,1
14,16.75,500,43.0,163.0,0.54,9.2,7,15.2,0,1
15,3.4,360,34.0,200.0,0.76,10.0,7,13.0,0,1
17,7.6,450,25.0,118.0,0.37,11.0,8,12.0,0,1
20,7.0,240,14.0,130.0,0.45,12.5,9,15.2,0,1
21,1.2,500,36.0,140.0,0.45,11.2,7,15.6,0,1
23,1.0,320,14.0,71.0,0.38,13.0,9,13.4,0,1
24,2.6,1090,31.0,119.0,0.5,9.1,5,16.8,1,0
25,1.6,520,48.0,185.0,0.5,9.4,7,12.6,0,1
26,14.5,450,39.0,193.0,0.5,9.2,8,14.8,0,1
27,2.5,420,23.0,218.5,0.6,9.8,7,12.2,0,1
28,2.4,480,35.0,103.0,0.46,12.0,10,13.6,0,1
29,2.7,820,6.0,11.0,0.54,12.2,6,15.2,1,0
30,9.0,440,31.0,185.0,0.49,10.0,8,16.0,0,1
31,2.5,440,16.0,70.0,0.65,12.5,6,12.2,1,0
32,4.6,290,22.0,104.0,0.44,9.0,7,11.0,0,1
33,1.9,850,9.0,22.0,0.55,9.5,5,18.6,1,0
34,13.2,670,53.0,178.0,0.48,9.0,8,14.8,0,1
35,17.3,550,32.0,197.0,0.46,9.0,8,14.6,0,1
36,1.4,500,23.0,83.0,0.48,12.0,9,13.2,0,1
37,7.1,440,34.0,145.0,0.57,9.7,8,10.6,0,1
38,1.4,570,15.0,26.0,0.45,9.5,5,12.0,1,0
39,8.0,280,22.0,84.0,0.66,10.8,8,13.8,0,1
40,2.0,810,17.0,108.0,0.54,9.5,5,15.6,1,0
41,1.6,880,16.0,39.0,0.55,9.2,5,14.0,1,0
42,14.7,510,29.0,149.0,0.39,9.0,9,14.0,0,1
43,15.7,530,51.0,190.0,0.51,9.7,8,13.0,0,1
44,1.9,800,22.0,39.0,0.74,9.7,5,13.6,1,0
46,10.6,390,31.0,119.0,0.3,9.3,8,15.2,0,1
47,2.1,390,8.0,143.0,0.74,9.8,7,15.8,0,1
48,1.4,450,11.0,119.0,0.47,9.4,6,17.2,0,1
49,1.9,650,9.0,18.0,0.65,9.2,5,13.0,1,0
50,1.8,650,3.0,16.0,0.92,10.5,7,16.0,1,0
51,9.6,1190,56.0,178.0,0.44,10.2,8,14.3,0,1
52,1.4,470,20.0,77.0,0.62,11.4,7,10.4,0,1
53,1.2,490,12.0,117.0,0.44,11.5,7,11.8,0,1
54,9.7,320,17.0,50.0,0.66,12.0,8,12.0,0,1
55,5.0,530,29.0,106.0,0.52,9.0,7,11.6,0,1
57,1.3,350,26.0,102.0,0.35,10.6,8,10.6,0,1
58,2.5,730,5.0,27.0,0.64,9.5,5,21.6,1,0
59,7.0,460,0.0,194.0,0.48,9.4,7,13.2,0,1
60,9.9,470,26.0,101.0,0.5,9.9,8,12.8,0,1
61,14.9,320,60.0,181.0,0.61,9.3,9,14.0,0,1
62,2.1,1020,17.0,36.0,0.53,11.2,6,15.6,1,0
63,6.3,290,41.0,131.0,0.49,10.8,8,13.8,0,1
64,2.6,920,13.0,52.0,0.64,10.0,7,20.2,1,0
65,9.7,350,26.0,143.0,0.49,9.8,8,15.2,0,1
66,8.8,560,35.0,167.0,0.47,9.4,7,13.4,0,1
67,13.9,290,34.0,131.0,0.5,12.0,9,13.4,0,1
68,7.1,450,41.0,169.0,0.43,10.6,7,16.0,0,1
69,12.5,340,38.0,152.0,0.43,9.4,7,11.8,0,1
71,16.3,510,56.0,197.0,0.42,9.8,7,13.0,0,1
72,13.9,570,45.0,155.0,0.41,8.8,10,14.6,0,1
73,11.0,470,66.0,178.0,0.5,8.7,7,14.4,0,1
74,3.2,210,20.0,80.0,0.47,12.0,7,12.3,0,1
75,2.2,440,29.0,128.0,0.64,10.9,10,14.2,0,1
76,1.7,450,49.0,154.0,0.6,10.4,8,14.8,0,1
79,12.9,440,79.5,182.0,0.78,10.2,8,13.6,0,1
80,9.55,360,35.0,91.0,0.37,12.4,8,13.4,0,1
81,1.1,480,21.0,98.0,0.48,9.2,7,11.6,0,1
82,0.8,480,17.0,204.0,0.56,10.0,7,13.2,0,1
83,4.0,380,33.0,170.0,0.64,10.2,8,14.2,0,1
84,5.1,360,43.0,131.0,0.44,11.3,8,12.6,0,1
85,1.2,310,33.0,97.0,0.58,10.9,8,11.2,0,1
87,1.2,500,11.5,88.0,0.37,9.5,6,16.0,0,1
88,1.4,430,28.0,93.0,0.5,12.3,8,11.4,0,1
89,1.0,300,9.0,131.0,0.29,10.8,7,12.8,0,1
90,5.8,350,24.0,100.0,0.57,13.2,9,14.2,0,1
91,4.9,470,42.0,130.0,0.56,11.0,8,13.6,0,1
92,5.8,380,52.0,155.0,0.38,9.4,8,12.6,0,1
93,1.2,480,4.0,119.0,0.34,12.1,8,15.4,0,1
94,2.7,840,4.0,18.0,0.57,9.9,6,16.8,1,0
95,8.6,520,41.0,150.0,0.46,10.3,7,14.8,0,1
96,7.5,410,71.0,223.0,0.41,8.9,7,13.6,0,1
97,5.1,350,29.0,142.0,0.33,10.1,9,12.6,0,1
98,4.8,340,34.0,132.0,0.48,9.6,9,14.0,0,1
99,1.3,540,11.0,107.0,0.39,8.5,7,13.0,0,1
100,5.6,490,24.0,97.0,0.42,10.9,7,16.0,0,1
101,4.9,360,41.0,150.0,0.43,12.2,8,14.0,0,1
102,6.4,340,8.0,84.0,0.46,11.5,7,14.6,0,1
103,14.7,510,29.0,149.0,0.39,9.0,9,14.0,0,1
104,2.2,440,15.0,68.0,0.39,9.4,8,13.6,0,1
105,4.5,480,27.0,133.0,0.42,10.6,8,15.8,0,1
106,0.95,210,52.0,148.0,0.32,11.5,7,16.8,0,1
107,1.5,430,45.0,155.0,0.48,10.2,7,12.6,0,1
108,5.0,350,42.0,126.0,0.38,12.6,9,13.6,0,1
109,1.5,360,38.0,124.0,0.42,12.4,9,12.2,0,1
110,1.9,770,28.0,54.0,0.64,10.4,6,14.2,1,0
111,8.0,470,61.0,189.0,0.49,9.2,7,13.2,0,1
112,2.2,730,12.0,22.0,0.5,9.3,5,14.2,1,0
113,12.4,650,29.0,119.0,0.39,9.4,7,15.0,0,1
114,7.75,320,30.0,114.0,0.64,12.8,9,14.0,0,1
116,1.1,300,28.0,117.0,0.45,10.3,8,11.2,0,1
117,5.4,350,33.0,115.0,0.44,12.89333333,9,13.4,0,1
118,10.6,490,38.0,209.0,0.59,9.3,8,12.6,0,1
119,2.8,380,10.0,164.0,0.53,12.0,8,13.6,0,1
120,5.0,580,14.0,146.0,0.36,9.1,8,13.8,0,1
121,1.2,290,29.0,75.0,0.39,12.8,10,12.4,0,1
122,8.9,360,38.0,155.0,0.5,9.4,7,12.4,0,1
123,1.9,380,40.0,118.0,0.53,11.8,9,12.8,0,1
124,1.6,1190,33.0,104.0,0.38,10.2,8,12.0,0,1
125,15.4,460,13.0,119.0,0.45,9.5,7,19.6,0,1
126,1.6,460,29.0,130.0,0.38,9.8,8,17.4,0,1
127,15.7,450,68.0,183.0,0.76,9.4,7,14.4,0,1
128,1.2,760,47.0,130.0,0.45,10.3,8,11.6,0,1
129,9.4,460,6.0,194.0,0.61,9.4,7,15.2,0,1
130,2.1,620,26.0,87.0,0.47,12.8,8,16.4,0,1
131,13.5,390,46.0,165.0,0.4,8.7,7,14.6,0,1
132,10.7,440,20.0,90.0,0.44,10.9,9,14.2,0,1
133,1.7,860,15.0,48.0,0.48,10.0,5,14.8,1,0
134,2.4,450,29.0,100.0,0.6,11.3,9,15.0,0,1
135,4.8,850,12.0,69.0,0.7,11.0,6,14.0,1,0
136,1.5,430,16.0,104.0,0.5,10.8,7,14.0,0,1
137,7.3,410,49.0,115.0,0.43,11.0,8,13.0,0,1
138,14.0,480,24.0,113.0,0.53,9.8,8,13.0,0,1
140,5.8,410,20.0,119.0,0.55,11.2,8,13.8,0,1
141,8.6,570,47.0,223.0,0.51,9.1,7,12.8,0,1
142,12.15,390,21.0,158.0,0.73,9.3,8,17.2,0,1
143,1.4,290,35.0,138.0,0.6,11.5,9,13.0,0,1
144,1.4,160,6.0,55.0,0.4,13.4,7,13.8,0,1
145,5.9,450,75.0,162.0,0.4,9.3,7,13.0,0,1
146,2.3,870,21.0,68.0,0.44,9.2,5,15.2,1,0
147,12.8,620,19.0,171.0,0.52,9.0,9,13.6,0,1
148,11.5,330,35.0,165.0,0.32,9.0,7,13.0,0,1
149,1.4,740,12.0,96.0,0.58,9.2,5,11.2,1,0
150,15.3,470,54.0,171.0,0.51,9.1,7,15.8,0,1
151,2.4,740,9.0,46.0,0.54,9.4,6,14.6,1,0
152,6.5,610,23.0,150.0,0.45,9.6,8,13.2,0,1
153,1.2,260,31.0,68.0,0.44,11.65,8,11.0,0,1
154,12.6,440,48.0,118.0,0.56,10.0,9,14.2,0,1
155,1.1,390,25.0,78.0,0.54,10.2,9,13.2,0,1
156,4.2,460,6.0,114.0,0.35,8.6,6,13.0,0,1
157,7.1,480,36.0,110.0,0.41,9.5,8,10.8,0,1
158,8.2,400,13.0,60.0,0.3,9.5,6,16.0,0,1
159,4.5,510,14.0,92.0,0.58,11.9,8,13.4,0,1
160,8.3,830,27.0,182.0,0.35,9.2,7,14.4,0,1
161,1.2,330,20.0,72.0,0.38,10.5,9,15.8,0,1
162,1.5,410,35.0,125.0,0.49,11.4,9,17.2,0,1
163,1.9,970,14.0,38.0,0.58,9.0,6,14.4,1,0
164,2.2,420,21.0,177.0,0.57,11.4,7,14.0,0,1
165,6.3,420,0.0,138.0,0.48,9.7,7,11.6,0,1
166,12.5,370,47.0,156.0,0.44,8.7,7,14.4,0,1
167,9.0,390,54.0,141.0,0.43,9.4,8,14.0,0,1
168,5.3,340,33.0,104.0,0.52,9.3,9,14.2,0,1
